,id,author_id,text,created_at
22,1511040673927122958,1123159282093043712,#UKRAINE #Україна 🇺🇦 #KYIV #EU 🇪🇺🌞 Here you can find out what #KERNEUROPÄISMUS is and the different development versions of the #EUPassports &amp; #EUIdentityCards for the conversion of European to #RealEuropean over a period of 100 years is necessary. MM 👉 https://t.co/FA5CzjBP9o,2022-04-04T17:59:05.000Z
23,1511040670882009095,1502563109503918083,"Karma quote here 👇
https://t.co/NhBAkiPG8s

#love
#karma 
#Ukraine 
#Devine 
#justice https://t.co/QLxVeVTNWX",2022-04-04T17:59:04.000Z
24,1511040665026760711,1413456734425784321,Think 1 #chenjaclive #Ukraine #WrestleMania #GRAMMYs #방탄소년단 #น้องเลิฟโตแล้ว https://t.co/T56cZwZeDt,2022-04-04T17:59:02.000Z
25,1511040653521788938,1498633563712811010,"Since 2014, when the Maidan uprising brought a new government to #Ukraine, the country has been erecting monuments to #Nazi collaborators and Holocaust perpetrators at an astounding pace — there’s been a new plaque or street renaming nearly every week. https://t.co/FKQA37vIjJ https://t.co/bkDhdhLfn6",2022-04-04T17:59:00.000Z
26,1511040652481470468,1158020904309252096,Russia propaganda internet people keep saying #Bucha is fake. Suicide and drunk people.  That is #Russia tag line suicide and yet Russia &amp; #Chechens are selling jewelry wedding rings cellphones belonging to genocide of #Ukraine pictures from dead Russian #Mariupol https://t.co/NrOrrqp0u7,2022-04-04T17:58:59.000Z
27,1511040647951753222,1032474858,"Strong US market, strong US dollar, strong Oil

Everything is bought, who's wrong ?

#sp500 #nasdaq100 #dxy #oil #crude #energy #brent #russia #ukraine",2022-04-04T17:58:58.000Z
28,1511040632986427394,95664521,the fact that the world is still letting Lavrov tell their lies is truly outrageous and  fucking disrespectful  to all those who lost their lives in Bucha and Ukraine #BuchaGenocide #Ukraine #StopRussia,2022-04-04T17:58:55.000Z
29,1511040618813919236,1495396468449894403,"#Russia #Ukraine 🇷🇺🇺🇦: #Ukrainian TDF with a destroyed #Russian TOS-1A ""Solntsepyok"" Thermobaric MLRS.

Combatants appear to be armed with AKS-74 rifles and a #Polish 🇵🇱 RPG-76 'Komar' anti-tank grenade launcher. https://t.co/eZBMtjDumM

 https://t.co/sCIBM8jXFs
#ukraine #ukra…",2022-04-04T17:58:51.000Z
30,1511040612602163209,1495396468449894403,"Do you agree with President Biden that Rupert Murdoch, the owner of Fox News, is the “most dangerous man in the world""?

 https://t.co/5hM3sm0H98
#ukraine #ukrainewar #russia",2022-04-04T17:58:50.000Z
31,1511040608613322767,1495396468449894403,"When MAGAs reply to me with photos of Hunter Biden in various states of undress that they keep on all their devices at all times, that’s… that’s not the flex they think it is.

 https://t.co/LrvEllr07f
#ukraine #ukrainewar #russia",2022-04-04T17:58:49.000Z
32,1511040565793677322,221873073,#Russian murderers trying to destroy the evidence of their evil actions #PutinIsAWarCriminal #Putin #Russia #Ukraine #UkraineUnderAttack #PutinLies #RussiaInvadedUkraine #PutinWarCrimes #RussiaWarCrimes #RussianArmyCriminals #RussiaEvil #RussianMurderers #RussianDevils @NATO https://t.co/FGvcXFZuQX,2022-04-04T17:58:39.000Z
33,1511040555433746432,1123159282093043712,"#UKRAINE #Україна 🇺🇦 #KYIV #EU 🇪🇺 🌞 I invented the #RealEuropean 1977 in #FRANKFURT as a solution for my #UnitedStatesOfEurope #USE of 1975, so that there will never again be #WAR between us #Europeans in #EUROPE. MM 💡 inventor. Article in German 👉 https://t.co/9NFGTh8Ueh",2022-04-04T17:58:36.000Z
34,1511040546462183433,1452730505787551750,War in Ukraine: Berlin takes control of the German subsidiary of Gazprom - #subsidiary #gazprom #ukraine #germany #berlin #europe #kyiv #war https://t.co/POjdm10YV9,2022-04-04T17:58:34.000Z
35,1511040543006109700,1514426455,President @ZelenskyyUa is urging the world to bear witness and take action to support the people of #Ukraine. Listen to his words and join me in taking action ➡️ https://t.co/RAmCrpmt0s https://t.co/oLLydjB7j3,2022-04-04T17:58:33.000Z
36,1511040531266220037,389340413,The level of critical thinking skills and healthy scepticism around #Bucha #Ukraine is too damn low.,2022-04-04T17:58:31.000Z
37,1511040530003681291,1510641996523884546,"dear 
@MosSobyanin @Alexey_Pushkov @tvrain @KremlinRussia
 
 help us stop the war in ukraine and stop the mass genocide #путин #русскиенелюди  #Genocide  #Ukraine #war #нацизм #РФ #Russia  #БУЧА  #CancelRussia #WarCrimes #warukraine https://t.co/5JGOoDHYU5",2022-04-04T17:58:30.000Z
38,1511040523850719235,298728900,#Ukraine: #Germany expels #Russian #diplomats with Bucha deaths in focus — live updates https://t.co/OsQR8MIgZw https://t.co/GufBZdx8BU,2022-04-04T17:58:29.000Z
39,1511040522625773568,293831051,"The first in a new blog series, ""In Times of War"": A Flood of Horrific News https://t.co/ghk7SCSGoY @jaymgates #Ukraine",2022-04-04T17:58:29.000Z
