,id,author_id,text,created_at
26,1511035394124500992,21453076,I made a parody remix of the fresh prince #WillSmith #ChrisRock #Oscars #JadaPinkettSmith #freshprince #parody #remix #nike #Jordan https://t.co/xwdjWXQRhB,2022-04-04T17:38:06.000Z
27,1511034196059635713,1225718898110038016,"Netflix shelves 'Fast and Loose'...

#hollywood #love #losangeles #actor #movie #movies #film #cinema #actress #instagram #instagood #s #fashion #music #photography #model #california #follow #beautiful #art #la #like #films #india #tollywood #Bollywood #netflix #WillSmith https://t.co/zNri55UqoJ",2022-04-04T17:33:20.000Z
28,1511034057001422852,28326804,"Fucking love @tomsegura's response to the #WillSmith thing. Oooff 👍⚡🔥
https://t.co/bPbVnBs3ns",2022-04-04T17:32:47.000Z
29,1511033493299646465,14228245,"Universal Fans Say Attraction Starring Will Smith Is Different After Oscars Incident
https://t.co/QvFLZ7m7Ez

#Universal #UniversalOrlando  #WillSmith https://t.co/ubWoRkSKGW",2022-04-04T17:30:33.000Z
30,1511033376114978822,1458132991771824141,Tony Rock goes off on Will Smith-Jada at comedy show after slapping his ... https://t.co/SQrFsZIwQC via @YouTube #chrisRock #JadaPinkettSmith #willsmith #oscars  #tonyrock #chrisrockwillsmith,2022-04-04T17:30:05.000Z
31,1511033373342453762,1116739296319496192,"The Slap, across The Face. #WillSmith

https://t.co/0EyjgTjlp9",2022-04-04T17:30:04.000Z
32,1511033367839404032,30628665,"Will Smith Slaps Chris Rock!!! —- personal rant… #willsmith #ChrisRock #chrisrockwillsmith #Oscars 

Full version here👇🏽: 
https://t.co/BwByC1WFtq https://t.co/Up6hOwqwrn",2022-04-04T17:30:03.000Z
33,1511033366593875980,1286076959215124480,"The anchors kicked things off with jokes about the slap, with Michael Che arguing that, with as much as the public knows about the Smiths’ personal life… #SNL #WillSmith #TheSlap #ChrisRock https://t.co/1v1EJduPyN",2022-04-04T17:30:02.000Z
34,1511033366581235716,1035239297819926528,"The anchors kicked things off with jokes about the slap, with Michael Che arguing that, with as much as the public knows about the Smiths’ personal life… #SNL #WillSmith #TheSlap #ChrisRock https://t.co/XaA5Mk9I64",2022-04-04T17:30:02.000Z
35,1511032776497274882,174878122,"We’ve talked a lot about #WillSmith, perhaps it’s time to talk about Jada?",2022-04-04T17:27:42.000Z
36,1511031559297527813,211761823,"If @TheAcademy cancelled @KevinHart4real for a 10 year old tweet to host the #Oscars, they should take #WillSmith Oscar back and cancel his win, put the Oscar in the Academy museum with a #NeverAgain installation against violence... or admit you promote violence. Integrity right?",2022-04-04T17:22:52.000Z
37,1511031542444924934,1018335960558338048,So #Netflix thinks somebody’s about to cancel #WillSmith over a slap. Idc what he did I’m not canceling him over yaw $14 subscription. Disney Plus here I come. But yaw will keep abusers and molesters and alcoholics and drug users on their movies and Episodes though #assbackwards,2022-04-04T17:22:47.000Z
38,1511031390334160898,1468895261648769024,"The funniest headline I've seen so far about the #willsmithslap 

Really?  You think so?  I bet he'll be getting a EBT card soon.

#WillSmithAssault #WillSmith #WillAndChris #chrisrockwillsmith #SNL @esquire https://t.co/4cwIov9nZR",2022-04-04T17:22:11.000Z
39,1511031163090968577,1201253896426930176,"Divyanka gives out her opinion on the Will Smith-Chris Rock episode..
But the real question is... Who asked?
#DivyankaTripathi #WillSmith https://t.co/YWpnTuZOOx",2022-04-04T17:21:17.000Z
40,1511030844252635138,1459336623632568325,thanks #willsmith cant tell a joke no mo https://t.co/2MVqcHGPNJ,2022-04-04T17:20:01.000Z
41,1511030025184854016,316445157,"OK, admit it.  #willsmith did not connect with #ChrisRock!",2022-04-04T17:16:46.000Z
42,1511029868628041738,1267874621015109638,Had to weigh in… #oscars2022 #willsmith #willsmithslap #chrisrocked #chrisrock #chrisrockslap #nuance https://t.co/VoLd9HtgOZ,2022-04-04T17:16:08.000Z
43,1511029590092881920,1478691305542889477,The 227's YouTube Chili' Miami Chili' Heat #HeatTwitter http:Spicy' Spicy' NBA Mix! Got ROCKED! #chrisrock #willsmith #slap #viral #nba #basketball #oscars… v=uvRjFmlJbpw&amp;utm_source=&amp;utm_medium=twitter  https://t.co/YrGwqApgws🙏,2022-04-04T17:15:02.000Z
44,1511029095915794432,1511013993355386889,"The NBCs Are The Laughing Stock of The World. 
https://t.co/KPHaxXurAc
#WillSmith #ChrisRock #JadaPinkettSmith",2022-04-04T17:13:04.000Z
45,1511028045179604993,1083263067461308416,"crying a boo hoo sad river for will smiths bald wife
‘ep149: Boo hoo will smith bald wife’ by Blaze McFirebackflip on #SoundCloud #baldwife #mybaldwife #beautifulbaldwoman #willsmith #newpodcast https://t.co/jefTWgY3aV",2022-04-04T17:08:54.000Z
46,1511027986702602241,1276381575320449025,"Want to create some creative pattern design for your project?visit here:https://t.co/QIYpWsgsYp
#Russia #Ukraine #Pakistan #imrankhan #willsmith #pattern #clothing #print #illustration #art https://t.co/wsjf6hJleC",2022-04-04T17:08:40.000Z
47,1511027856935034883,1456110008,DID WILL DEFEND JADA ? #OSCARSLAP #WILLANDJADA #WILLSMITH #JADAPINKETTSM... https://t.co/GkqPDKGJBV via @YouTube !!,2022-04-04T17:08:09.000Z
48,1511027506878550020,2925046704,"I won’t miss him, but I think this is taking the punishment too far. #WillSmith https://t.co/jYfUR4IMBE",2022-04-04T17:06:45.000Z
49,1511027372371456003,21194711,".@thetalentguru #WillSmith #JadaPinkett #TheOscars

NO BLACK WOMAN woke up thinking I want to know what #FranLebowitz thinks about the #Misogynoir cultural &amp; racial shaming struggles of black women &amp; ableism towards illnesses by #ChrisRock who has a history of HATING black women. https://t.co/JzY3RtZ8Yn",2022-04-04T17:06:13.000Z
50,1511026860679135233,1386571266920878080,"Stop judging people who don’t want to see it!
#Friends #WillSmith #WillSmithMemes #overrated #AcademyAwards2022 #Oscars2022 https://t.co/A0YepMOQqJ",2022-04-04T17:04:11.000Z
51,1511026800301854725,1202664396092256257,"Will Smith, Aliens, and Arnold's Bastard! | Regulators EP#36 OUT NOW!!!!
On YouTube and ALL audio streaming platforms!
https://t.co/lPpa8wwRO9

#comedy #podcast #willsmith #jadapinkettsmith #Aliens https://t.co/CVTJV5T8Zg",2022-04-04T17:03:57.000Z
52,1511026153024376840,30110761,Denzel Washington Weighs In on Will Smith Slap: ‘Who Are We to Condemn?’ https://t.co/K1ZynkVLDg via @Variety #WillSmith #DenzelWashington https://t.co/IQv7DqpePH,2022-04-04T17:01:23.000Z
53,1511026060753788931,1048854114,1/ I honestly don't feel this is right. I agree that Will Smith should never put his hands on anybody but I feel like all this negativity going his way. It's a bit extreme. #WillSmith #ChrisRock Will Smith and Chris Rock should handle this like adults and in a public manner. They,2022-04-04T17:01:01.000Z
54,1511025934329159680,1298940456928268288,If y’all out here dancing to Chris Brown music and all them other rapists and abusers in the black community we better not be out here cancelling #WillSmith for defending his wife #IsaidWhatisaid,2022-04-04T17:00:30.000Z
55,1511025928092061697,979576008004136961,This didn't age well for #WillSmith.... https://t.co/hQBqzIheg5 via #WillSmithAssault,2022-04-04T17:00:29.000Z
56,1511025821229600775,1478581035881283585,Seems that Americans lost interest in the War in Ukraine faster than you can say Fauci.  Ya we made a meme on the Will Smith slap also.  We will see how long the hype over it lasts.  #warinukraine #willsmith https://t.co/tORWuF7Uzx,2022-04-04T17:00:03.000Z
57,1511025596196958218,1067826336453050368,"Not too late to catch our most recent episode. 

Dutch and Del look into #SlapGate and discuss #ChrisRock and #WillSmith and exactly what went down at the #Oscars2022. 

#Oscars
#WillSmithAssault
#oscarslap
#chrisrockwillsmith

https://t.co/DQ2Tc17hFR",2022-04-04T16:59:10.000Z
58,1511025469646323715,65052078,Just watch #KingRichard forget any shit around #WillSmith is a flipping cracking film and he was brilliant 👏🏻👏🏻,2022-04-04T16:58:40.000Z
59,1511024974580129796,1501599752114393094,"Have you had a chance to listen to the latest episode of #shoppingfortea ?  #toriamos #willsmith #survivor #oscars #CODAfilm #TaylorHawkins 

 https://t.co/V2MEzeWDob",2022-04-04T16:56:42.000Z
60,1511024903763419136,518893575,"#iTHiNKLabs Episode 209🔴https://t.co/KzBFUI4ZQ0

This Week:

#UkraineRussiaWar #Business #Apple #Security #WillSmith #Uyghurs #Cryptotrading #NorthKorea #NATO #Travel #USA #Travel #iPhone #China #Education #WW3 #Bucha #Russia #AOC #CyberSecurity #Nuclear #Parents @AOC @POTUS▼ https://t.co/zBi3HwGLwW https://t.co/mF5G4kEBXe",2022-04-04T16:56:25.000Z
61,1511024788977995783,3024349227,"You've seen the slap. Here's the punchline.
https://t.co/0StxmpZdSA
#WillAndChris #willsmithchrisrock #WillSmith #ChrisRock #Oscars #slap #SlapGate #SlappyOscars #SlapChrisRock",2022-04-04T16:55:57.000Z
62,1511024623009374209,401019529,"#TrevorNoah opened Sunday night's #GRAMMYs ceremony with a reference to #WillSmith's #Oscars slap the previous week.
https://t.co/56GSdTcgxq",2022-04-04T16:55:18.000Z
63,1511024575504650240,1327237027,"Choose wisely 😂

#carnivoreclub #jerky #willsmith #chrisrock #memes #carnivore #subscriptionbox #meatsubscription #charcuteriesubscription #funny https://t.co/ExWHzBPzBz",2022-04-04T16:55:06.000Z
